member,ks,ratio,res_oof,res_test,smoothing
golem_d,0.0040033373729085,1.0038210709837612,0.9999942143775611,1.0,5.7856224389141175e-06
bolt_lgb_missing_global,0.004001650503379,1.0028018763318447,0.671169809464989,0.7132047708081619,0.04203496134317286
bolt_histgb_5fold,0.0040003965518909,1.0033683202597143,0.7218041306451403,0.7702749222077475,0.04847079156260725
lgbm_tuned_lat_frac,0.003996840360955,1.002303394115478,1.0,1.0,0.0
pubmk_nn,0.0039934289658126,1.0056740453758517,0.7014488644992761,0.7818644491093546,0.08041558461007847
poly2_raw,0.003987923528262,1.0051071048565137,0.9938484369417778,0.9995545085757099,0.005706071633932108
pub_donlgbm,0.0039805396701424,1.0022247585833408,0.7179292100166481,0.7753035754061735,0.05737436538952534
lgbm_tuned_lat,0.0039732161574342,1.0022986447923967,1.0,1.0,0.0
bolt_xgb_te_5fold,0.0039377388741919,1.0025329485800338,0.6312461218249589,0.6858779218500044,0.05463180002504553
bolt_lgb_te_5fold,0.0039204362650249,1.0026210108340945,0.6858479335926256,0.7330223893190057,0.047174455726380016
bolt_xgb_d7_alt2,0.0039173165605251,1.0027672274236037,0.6321544645478753,0.6879568818300248,0.05580241728214952
bolt_xgb_d7_alt1,0.0039173165605251,1.0027672274236037,0.6321544645478753,0.6879568818300248,0.05580241728214952
ad_gxgbcs4,0.0039119239447795,1.002196209137415,0.6420334148623962,0.7977536432423676,0.15572022837997146
bolt_xgb_te_4fold,0.0038890488454351,1.0024729071953218,0.6323801038229947,0.7121652908181517,0.07978518699515702
dkv_xgb,0.0038779289658814,1.002982871393012,0.662540553597283,0.8269940803639529,0.1644535267666699
bolt_cat_cpu5,0.0038696471268371,1.0030582195118247,0.7237480997846302,0.7725125041342954,0.048764404349665225
dkv_cb,0.0038683076656763,1.0031667576165146,1.0,1.0,0.0
xgb,0.0038662850741489,1.0036815807507802,0.6777871151295474,0.8412261813960081,0.16343906626646076
pub_evg,0.0038606257123531,1.003304187173612,0.7027448439256027,0.7492727015004961,0.046527857574893416
lexb_cat_base,0.0038464624021272,1.001793370318652,1.0,1.0,0.0
bolt_repr_lgb_global,0.003842586412728,1.0023157498705315,0.6828856949038791,0.7299005744139425,0.047014879510063445
ram_lgb,0.0038244738462944,1.0026997652004288,1.0,1.0,0.0
bei_exact_value_catboost_fixed4000,0.0038223612931437,1.0019153839097474,1.0,1.0,0.0
ad_gxgbd8,0.0038049085868472,1.0021427352455552,0.6424658901397083,0.8119013708986103,0.1694354807589019
bolt_foldsafe_te_xgb,0.0037902826886712,1.0027565422608713,0.6352859326929614,0.719036658544323,0.08375072585136156
xgb_tuned,0.0037584762585045,1.002641466564346,0.6620979534807028,0.8139330817881756,0.1518351283074728
lat_lgbm_s5,0.0037487781182149,1.0021044737930078,1.0,1.0,0.0
naji01,0.0037481496706911,1.0029082624144208,0.7026681844282865,0.7494313234470237,0.04676313901873719
ad_xgbte,0.0037461241648935,1.0022790278567488,0.6414678702689881,0.7985265033648102,0.15705863309582213
pubmk_cat,0.0037044607935485,1.002156557527336,0.716774978340076,0.7659212560158217,0.04914627767574575
pubfe_cat,0.0037019853185428,1.0023227406685358,0.7266250005424021,0.7845002733697376,0.05787527282733551
