a,b,dcv,dlb,sd,p_reverse,ga,gb,same,r,sd_pred,z
blend150fx_logit,blend159av,-9.50396610013282e-05,-3.0000000000085517e-05,2.567910457892124e-05,0.0,logit,ens4,False,6.503966100124269e-05,2.6001597617105e-05,2.5013717218074603
blend150fx_logit,blend159av_h3,-9.933506634129952e-05,-2.000000000002e-05,3.210343604282451e-05,0.002,logit,h3,False,7.933506634127951e-05,3.2361972628725685e-05,2.4514904345125976
blend150fx_logit,blend159av_w,-9.8341376606359e-05,-2.000000000002e-05,3.1349986048096385e-05,0.0,logit,w,False,7.8341376606339e-05,3.161468475064246e-05,2.4780059400955117
blend150fx_logit,blend159av_wh3,-9.94198697508164e-05,-2.000000000002e-05,3.2701485738837855e-05,0.002,logit,wh3,False,7.94198697507964e-05,3.295533092223597e-05,2.409924814234209
blend150fx_logit,blend160orig,-9.2470562212843e-05,-3.0000000000085517e-05,2.556983030778719e-05,0.0,logit,ens4,False,6.247056221275749e-05,2.589368433876684e-05,2.412579121435779
blend150fx_logit,blend160orig_h3,-9.649407093459406e-05,-2.000000000002e-05,3.1976168213990866e-05,0.002,logit,h3,False,7.649407093457405e-05,3.2235725527993104e-05,2.3729594939052188
blend150fx_logit,blend160origm,-9.440739048816038e-05,-3.0000000000085517e-05,2.555103203487758e-05,0.0,logit,ens4,False,6.440739048807487e-05,2.5875121346846026e-05,2.4891628381068682
blend150fx_logit,blend160origm_h3,-9.881792893950968e-05,-2.000000000002e-05,3.2017783399242885e-05,0.002,logit,h3,False,7.881792893948968e-05,3.2277006064186e-05,2.4419219298949995
blend150fx_logit,blendtop3,-9.962335327873272e-05,-2.000000000002e-05,3.177630792011038e-05,0.002,logit,h3,False,7.962335327871271e-05,3.2037484478347175e-05,2.4853185128353905
blend150fx_logit,stack_pub149_hybrid,-6.847306472046455e-05,3.999999999992898e-05,3.3527674084277335e-05,0.03,logit,hybrid,False,0.00010847306472039353,3.3775310452580426e-05,3.211608221120177
blend150fx_logit,stack_pub151_fixed_rankraw,-7.466487057350424e-05,0.0,3.759423833137978e-05,0.028,logit,rankraw,False,7.466487057350424e-05,3.781525383206162e-05,1.9744643498915169
blend150fx_logit,stack_pub151_hybrid,-7.445750005352636e-05,3.999999999992898e-05,3.232667949472312e-05,0.016,logit,hybrid,False,0.00011445750005345534,3.258344478137968e-05,3.5127501349662045
blend150fx_logit,stack_pub151_rankraw,-7.32287843066004e-05,9.99999999995449e-06,3.649635438062059e-05,0.028,logit,rankraw,False,8.322878430655489e-05,3.672397785837627e-05,2.266333582585239
blend150fx_logit,stack_pub86_hybrid,0.0002720366768599,0.0002299999999999,6.120738422371793e-05,0.0,logit,hybrid,False,-4.203667686000003e-05,6.134338228510473e-05,-0.6852683255159747
blend150fx_logit,stack_pub88_mine_logit,0.0002898905347249,0.0002199999999999,5.725866806953097e-05,0.0,logit,logit,True,-6.9890534725e-05,5.7404021947624824e-05,-1.2175198244605199
blend150fx_logit,w16e_aonly,-0.000104593410539,-5.000000000010552e-05,3.287684655406191e-05,0.0,logit,h3+corr,False,5.459341053889448e-05,3.312934810716926e-05,1.6478866521095343
blend150fx_logit,w16h_h3av6,-9.889195939305484e-05,-2.000000000002e-05,3.1691648688559444e-05,0.002,logit,h3+corr,False,7.889195939303484e-05,3.1953517228401294e-05,2.4689601094339992
blend150fx_logit,w16i_schemeavg,-0.000105829205077,-4.000000000004e-05,3.258463329297298e-05,0.0,logit,h3+corr,False,6.582920507696e-05,3.2839381746680154e-05,2.0045811332491024
blend150fx_logit,w16l_maskw_h3,-9.59031618735784e-05,-2.000000000002e-05,3.298458292545499e-05,0.0,logit,h3+corr,False,7.59031618735584e-05,3.3236265997143594e-05,2.2837451680065897
